store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,initial_cost,interior_cost,average_sales_per_area,business_fee,contract_initial,contract_renewal,standard_store_area
커피사피엔스,2020-2023,서울,13.171999157723262,4.093545938791472,41,125,5590971,4995098,595873,6534744,343007,290330,55573,226309,90290,18040,18688,31000,0,0,33
디저트39,2020-2023,서울,39.77174355698376,4.119910804200834,383,196,36360933,10523924,25837009,54974777,7699149,6921171,2881201,367317,163500,70000,18966,16500,0,0,66
탐앤탐스커피(TOMNTOMS COFFEE),2020-2023,서울,10.414727065905295,17.028950421617285,-54,204,43626897,36443112,7183785,41436288,-2380414,-9145638,203588,435199,207626,67980,8079,21000,0,0,99
달리는커피,2020-2023,서울,34.31216931216931,13.80952380952381,157,111,1809361,326768,1482593,3376159,69427,15438,104202,95365,40865,15840,7056,5500,0,0,26
아리스타,2020-2023,서울,2.3917748917748916,12.662337662337663,-17,47,949909,1252333,-302424,2705221,-265022,-249489,1910,197096,65120,17600,16346,0,0,0,33
벤티프레소,2020-2023,서울,24.901960784313726,3.5294117647058822,49,55,782263,88622,693641,2399690,249270,248554,112518,0,71390,20900,0,11800,0,0,33
빽다방,2020-2023,서울,24.928355676495105,1.5693266562072772,728,763,193594164,68377331,125216833,388087962,23924281,19325524,1735182,355652,73572,16720,29941,8600,0,0,33
더치앤빈,2020-2023,서울,5.259650625922224,14.047947704951845,-39,118,1815484,1345088,470396,4494045,-187873,-120328,70288,174608,61350,16000,10538,9000,0,0,26
나우커피,2020-2023,서울,38.798786784568776,24.89023614616032,155,70,755460,317989,437471,2320094,-41592,-31102,7916,35149,62741,19800,3905,2750,0,0,26
매머드커피(Mammoth coffee),2020-2023,서울,0.32679738562091504,8.811274509803921,-25,87,22148189,17143281,5004908,66773224,3233959,2456421,1033288,311445,96401,23650,22909,16500,0,0,26
매머드익스프레스(Mammoth Express),2020-2023,서울,17.344407329583916,1.2472610975051484,468,786,22148932,17143281,5005651,66773224,3233959,2456421,1033288,280496,96401,23650,24764,16500,0,0,26
카페아이엠티,2020-2023,서울,2.75177304964539,9.026210299105765,-9,42,980551,263567,716984,2014051,119460,109378,0,302117,154800,66000,15327,22800,0,0,66
프롬하츠(FROM HEARTS),2020-2023,서울,3.0663221360895783,2.9974160206718348,0,41,624337,1163522,-539185,1672650,-74366,-80902,3386,228884,122300,40000,5440,24300,0,0,66
카페인중독,2020-2023,서울,32.43693270735524,11.130542514345331,86,77,1720022,415993,1304029,6978243,568524,532134,332562,232980,52000,18000,23729,9800,0,0,26
빌리엔젤,2020-2023,서울,4.583733077497069,14.679425680385066,-16,44,15701743,16342002,-640259,17308787,-3103086,-4188116,64165,222655,236100,55000,7136,15000,0,0,66
커피인류,2020-2023,서울,10.480939594863646,3.9249639249639245,16,61,382588,446677,-64089,128593,-108436,-114088,0,213404,90855,22000,17086,17100,0,0,33
엔제리너스,2020-2023,서울,6.555024764102963,38.41795480689918,-148,84,816406000,186628000,629778000,773300000,5320000,-8859000,2562000,272977,30980,20588,6151,51440,0,0,33
투썸플레이스,2020-2023,서울,14.802375422032009,3.821615575765405,315,779,1286122149,376149587,909972562,428158546,21870462,16083628,3367574,596340,312500,98400,10795,39150,0,0,149
커피니,2020-2023,서울,5.17785763128789,23.750223727506782,-38,47,2334550,3181332,-846782,4807108,47085,49690,22860,155298,11800,7700,7459,11800,0,0,66
메가엠지씨커피(MEGA MGC COFFEE),2020-2023,서울,30.389383619111538,0.6203188083989887,1358,1040,180803571,62113423,118690148,174810100,30959635,41006257,3683806,405108,70926,15400,24422,11800,0,0,33
달.콤(dal.komm),2020-2023,서울,9.68950589640245,33.12285415733692,-50,40,11553676,20446626,-8892950,12841403,-3081681,-5105585,290027,384954,188000,167000,13861,21000,0,0,132
커피나무,2020-2023,서울,1.5015015015015016,8.105745863857956,-22,100,2298545,4280293,-1981748,554562,54252,11869,8000,150532,102000,44000,4508,14000,0,0,66
파스쿠찌,2020-2023,서울,21.56526440342707,17.212761032524156,34,162,1701368163,980241188,721126975,1984740447,18799944,3179667,125407468,403832,254750,99000,8824,25950,0,0,132
요거프레소,2020-2023,서울,7.407684662718005,26.540435050852718,-201,233,32532066,15505776,17026290,10830556,67234,507141,176957,92578,74900,22000,6549,11000,0,0,33
에슬로우커피 (ESLOW COFFEE),2020-2023,서울,7.722449739389426,2.4317448498386693,13,73,1024571,890089,134482,1207165,7513,9084,0,202113,56100,22500,11612,9600,0,0,33
The Coffee Bean & Tea Leaf,2020-2023,서울,1.2021667884846627,4.2692060867684924,-53,545,366703841,4405922,362297919,29065525,15740399,16728636,0,525430,200000,116060,8021,0,0,0,208
커피마마,2020-2023,서울,5.416670899922447,28.45818051279967,-78,75,1497374,594164,903210,5372134,215418,442979,87193,58241,60900,12000,4519,16000,0,0,26
카페베네,2020-2023,서울,6.663086936825174,33.881254189209706,-146,104,12437381,32523888,-20086507,15865087,-1119742,-1842224,106166,0,175500,66000,0,16000,0,0,99
커피베이,2020-2023,서울,13.235436956548874,21.090984342253222,-127,351,10808836,5700543,5108293,17585856,304242,605445,507207,90882,73200,20900,5287,13800,0,0,33
오슬로우(OHSLOW),2020-2023,서울,19.895036737142,5.375618533513269,22,38,400481,321665,78816,1394298,-2324,10769,57,137194,68450,22000,9593,8500,0,0,26
