store_name,year,region,opening_rate,closure_rate,total_change,franchise_count,asset,liability,equity,revenue,operating_income,net_income,advertising_expense,average_sales,average_sales_per_area,initial_cost,interior_cost,business_fee,contract_initial,contract_renewal
노랑통닭,2020-2023,서울,53.09168443496801,24.733475479744136,132,220,40132357,10687769,29444588,97255813,11485335,9761019,9368014,654538,31356,60100,30000,7600,3,1
본스치킨,2020-2023,서울,24.705882352941178,68.23529411764706,-37,64,6480079,3223696,3256383,6886130,153608,65728,79485,140765,6817,74425,33000,12000,2,1
또래오래,2020-2023,서울,43.44473007712082,65.55269922879178,-86,220,268729598,133122421,135607177,761244595,1806562,711608,5488777,144474,12547,32676,13090,8150,3,1
치킨매니아,2020-2023,서울,43.1924882629108,61.502347417840376,-39,121,9124731,2937169,6187562,11296729,489704,399723,553533,253270,13384,95490,56100,9800,2,1
감탄계숯불치킨,2020-2023,서울,65.85365853658537,0.0,26,14,64025106,20362664,43662442,77663591,3035990,2132757,13391,410886,23843,74345,20900,16100,1,1
바른치킨,2020-2023,서울,48.214285714285715,34.82142857142857,39,174,9179361,6284519,2894842,27340414,-1795123,2262587,1857357,311530,17390,49400,21450,9800,2,2
명가통닭,2020-2023,서울,26.875,12.5,2,117,1055267,89324,965943,5401210,275077,280437,7928,228990,14185,23500,11000,3300,2,2
당신은지금치킨이땡긴다,2020-2023,서울,86.20689655172413,44.13793103448276,56,20,5086731,13726974,-8640243,20061289,-870819,-5511256,518077,0,0,50740,16500,8500,2,2
보드람치킨,2020-2023,서울,28.74251497005988,0.0,24,119,4463753,3039504,1424249,1595043,-82321,-19771,83091,348809,18096,75900,42900,16500,2,2
훌랄라,2020-2023,서울,60.57142857142858,0.0,25,69,5117359,5030767,86592,5325637,250680,-55122,1837395,205779,10314,148900,33000,38600,5,5
꼬꼬아찌,2020-2023,서울,31.57894736842105,178.94736842105263,-28,13,1821952,841570,980382,2058856,-330364,-334871,0,0,0,42410,22000,11800,2,2
또봉이통닭,2020-2023,서울,56.49122807017544,73.33333333333333,-48,124,9917053,2235721,7681332,11360014,851798,954163,695266,186983,13064,28060,14300,6610,3,3
도담치킨,2020-2023,서울,0.0,72.72727272727273,-11,11,12908475,1631026,11277449,14089111,8054486,6795980,94137,0,0,114400,66000,8800,2,1
오늘통닭,2020-2023,서울,69.75308641975309,42.592592592592595,18,49,3245105,2105870,1139235,3887633,-31064,7331,110614,466939,11654,64700,30000,14200,2,1
1번지통닭,2020-2023,서울,56.8,0.0,59,54,607200,157919,449281,5002506,298910,253471,0,328898,17183,49500,27500,3300,3,2
오븐마루,2020-2023,서울,42.138364779874216,57.861635220125784,-31,92,1499889,948518,551371,8272081,82720,129948,92251,260539,13232,58200,16500,9900,2,1
짱닭치킨,2020-2023,서울,31.746031746031743,44.44444444444444,-8,43,1000145,773098,227047,2346628,63850,63112,70748,257731,21263,38015,18150,6500,2,1
페리카나,2020-2023,서울,16.969696969696972,36.36363636363637,-96,411,28516512,20694858,7821654,60688169,2246994,2199281,453530,148934,16004,35950,26950,500,1,1
코리엔탈깻잎두마리치킨,2020-2023,서울,68.94736842105263,81.57894736842105,-87,59,1644382,1173445,470937,8985244,-164062,-185380,303943,190809,18272,13071,0,8700,2,2
구도로통닭,2020-2023,서울,86.77685950413223,13.223140495867769,89,16,2072051,981249,1090802,12312814,448961,436770,2252191,630381,11556,115523,56400,18500,2,1
부어치킨,2020-2023,서울,62.323943661971825,46.83098591549296,-78,107,3904650,11327581,-7422931,13715710,-2214485,-1848661,184464,193720,11807,44850,16500,9150,3,1
명랑한찜닭,2020-2023,서울,75.0,76.92307692307693,-25,13,66633,325503,-258870,318978,-49746,-48001,13307,0,0,54720,29700,2200,1,1
웰덤치킨,2020-2023,서울,41.66666666666667,337.5,-71,14,9790551,6792017,2998534,16000012,614579,292850,57630,0,0,34550,16500,5950,1,1
둘둘치킨,2020-2023,서울,7.386363636363637,22.15909090909091,-26,163,6329330,3051142,3278188,5211293,144022,11111,6000,195918,8415,59200,33000,7500,3,3
미쳐버린파닭,2020-2023,서울,15.555555555555555,51.11111111111111,-25,38,1670143,672969,997174,9144461,-13706,-10234,2312,201488,14842,28100,7700,11600,1,1
교촌치킨,2020-2023,서울,15.018773466833544,1.5018773466833542,108,679,288746943,125052246,163694697,425920261,24005677,15787082,9404056,893260,36530,131006,69000,21035,3,1
기영이숯불두마리치킨,2020-2023,서울,85.71428571428571,7.5892857142857135,175,32,29130589,13948770,15181819,107584937,6192542,4827173,575405,365301,38001,50700,14000,10700,2,1
양계장집아들,2020-2023,서울,20.0,66.66666666666666,-14,24,173904,0,0,0,0,0,0,0,0,64180,29700,12700,2,1
수원왕갈비통닭,2020-2023,서울,77.77777777777779,168.25396825396825,-64,14,663565,477125,186440,1811850,147661,133449,17006,0,0,29875,10560,9700,1,1
국제통닭,2020-2023,서울,67.64705882352942,41.17647058823529,3,11,1549102,1187571,361531,5038629,141392,78496,9409,0,0,47465,18150,8800,2,1
동근이숯불두마리치킨,2020-2023,서울,75.84541062801932,40.09661835748793,72,50,3205833,1745597,1460236,13928313,915349,838351,118986,417759,19094,49860,24750,5500,2,2
호치킨,2020-2023,서울,23.981900452488688,22.624434389140273,-36,168,31764514,11318945,20445569,17691250,-2015383,1225168,1393696,332774,19197,60700,22800,7600,2,1
계림원누릉지통닭구이,2020-2023,서울,31.775700934579437,21.49532710280374,11,73,1242085,601500,640585,3922417,83777,66954,17939,346533,12217,93050,44000,14950,1,1
청년치킨,2020-2023,서울,35.44303797468354,0.0,24,51,1510497,530783,979714,3102336,755852,687235,2171,774385,71688,57700,35000,7700,1,1
지코바양념치킨,2020-2023,서울,35.23809523809524,0.2380952380952381,112,272,82398926,8997868,73401058,83396377,17698080,13697770,0,383558,31814,57000,20000,11000,5,1
아라치,2020-2023,서울,84.89583333333334,8.854166666666668,146,29,0,0,0,0,0,0,0,173226,13222,60200,35200,9700,3,1
쌀통닭,2020-2023,서울,55.172413793103445,0.0,-13,26,2115678,2630321,-514643,9727882,-320714,-347027,646253,198349,14084,72600,18000,10800,3,1
맛닭꼬,2020-2023,서울,13.360323886639677,8.097165991902834,-15,214,9265850,1440429,7825421,14042289,945450,762299,73785,350942,18294,68710,21450,4400,1,1
치킨89(치킨팔구),2020-2023,서울,52.0,76.0,-6,12,278689,205209,73480,820777,15123,7394,0,260577,18296,40650,14300,5950,2,1
치킨뱅이,2020-2023,서울,0.0,17.20430107526882,-16,93,1495283,953938,541345,2546761,27300,9395,0,345816,13319,25650,0,10800,3,1
코리안바베큐,2020-2023,서울,26.190476190476193,73.80952380952381,-20,31,7613410,7055598,557812,5008525,387263,15629,327,231244,12092,71000,37400,10250,2,2
88켄터키치킨&떡볶이,2020-2023,서울,19.51219512195122,56.09756097560976,-16,33,1359284,590038,769246,2190933,23602,19626,1420,242918,13420,32800,13000,6600,2,2
NAN갈비장터,2020-2023,서울,68.75,17.708333333333336,49,30,81309,121840,-40531,1686616,47411,47396,1675,96818,10979,38950,22000,5400,2,1
테트리스찜닭,2020-2023,서울,53.125,81.25,-78,30,714021,703530,10491,1469273,-86557,-98460,30810,0,0,13100,0,7600,2,2
가마치통닭,2020-2023,서울,68.19277108433735,26.265060240963855,174,132,20573779,12048532,8525247,65565968,3673325,6080860,680040,328889,21007,54400,33000,7400,2,1
컬투치킨,2020-2023,서울,63.934426229508205,22.950819672131146,-9,22,278788,1483610,-1204822,536967,-260886,-303696,16648,192507,11902,72420,36000,9470,2,1
디디치킨(DD치킨),2020-2023,서울,64.44444444444444,107.77777777777777,-39,32,1015036,400464,614572,5473956,-23012,-9052,309519,172820,11537,38550,24000,6550,2,1
옛날장터치킨,2020-2023,서울,11.11111111111111,88.88888888888889,-17,16,3383657,4749,3378908,114747,-226084,-134410,0,0,0,28390,16500,0,2,2
못말리는파닭,2020-2023,서울,10.526315789473683,26.31578947368421,-20,17,15772302,8638676,7133626,12460834,4204204,3886004,201963,0,0,45900,19800,7400,1,1
지랄닭발,2020-2023,서울,19.298245614035086,10.526315789473683,-3,46,2202394,1465012,737382,1798409,187893,101440,721,467317,39707,58300,36300,16500,2,2
김종용누룽지통닭,2020-2023,서울,29.411764705882355,23.52941176470588,1,12,2927,55177,-52250,790242,-28616,-28584,35,0,0,93550,41250,13800,2,1
두레통닭,2020-2023,서울,66.26506024096386,0.0,42,28,384409,222423,161986,3048363,239190,229141,24616,288376,22429,40400,13200,10700,2,2
땅땅치킨,2020-2023,서울,68.50393700787401,99.21259842519686,-65,40,26134795,11263347,14871448,20583891,1097492,845045,1446647,133486,9999,62750,22000,13800,2,1
더바스켓,2020-2023,서울,26.666666666666668,80.0,-8,11,0,0,0,0,0,0,0,0,0,43081,15400,6500,0,0
추닭집,2020-2023,서울,33.33333333333333,48.484848484848484,-5,22,0,0,0,2204407,0,0,0,195879,18282,35760,16500,6500,2,1
블레드,2020-2023,서울,60.71428571428571,85.71428571428571,-15,11,645326,630367,14959,927443,44637,43482,26795,0,0,32900,14300,6500,2,1
그램치킨,2020-2023,서울,60.0,0.0,15,10,0,0,0,794639,0,0,0,683434,75621,48100,20900,8500,2,1
깜꼬치킨,2020-2023,서울,15.384615384615385,107.6923076923077,-12,11,0,0,0,18981,0,0,0,0,0,41100,14300,6400,2,1
이나닭강정,2020-2023,서울,48.93617021276596,12.76595744680851,16,24,0,0,0,166425,0,0,0,256381,26439,59100,22000,11800,2,2
60계,2020-2023,서울,39.80582524271845,11.893203883495145,115,248,53816566,42143226,11673340,150145826,7352328,7469904,8097559,551692,31926,72850,30800,14300,5,1
썬더치킨,2020-2023,서울,35.406698564593306,133.9712918660287,-206,135,3393917,1989582,1404335,5851013,288119,155682,437333,229231,13279,71200,19800,11250,2,2
오부장치킨,2020-2023,서울,7.6923076923076925,25.64102564102564,-8,36,475486,31472,444014,795871,48469,38855,128,242610,13793,29100,14000,1100,2,1
충만치킨,2020-2023,서울,43.75,200.0,-50,18,1801068,592027,1209041,1078598,-69404,68279,28509,0,0,87170,52800,7500,2,2
후라이드 참 잘하는집,2020-2023,서울,41.94915254237288,0.0,65,137,122810204,59800202,63010002,150268841,13582419,-17847697,1079001,240274,24389,48500,25000,9900,1,1
아이러브피자&치킨,2020-2023,서울,37.5,45.83333333333333,-10,15,506054,341946,164108,1321331,24530,6474,0,0,0,55000,14300,6600,2,1
닭장수후라이드和,2020-2023,서울,44.18604651162791,37.2093023255814,-8,24,382890,524347,-141457,3295414,-9797,-31674,26805,345097,22162,33420,16500,4400,2,1
맥시칸치킨,2020-2023,서울,76.15062761506276,0.0,99,57,1185406,167970,1017436,3758309,342574,290444,58943,137379,12656,29400,15000,5400,3,1
돈치킨,2020-2023,서울,44.70588235294118,78.82352941176471,-29,47,0,0,0,0,0,0,0,0,0,66000,17600,6600,2,1
